CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12346.0,325,48,-64.67999999999302,2,2,1,221,Others
12347.0,1,253,5633.32,4,4,4,444,Champions
12348.0,74,51,2019.4,3,2,3,323,Others
12349.0,18,180,4404.54,4,4,4,444,Champions
12350.0,309,17,334.4,2,1,2,212,Others
12351.0,374,21,300.93,2,1,1,211,Others
12352.0,35,113,1889.21,3,3,3,333,Loyal Customers
12353.0,203,24,406.76,2,2,2,222,Others
12354.0,231,58,1079.4,2,3,3,233,Loyal Customers
12355.0,213,35,947.61,2,2,3,223,Others
12356.0,22,143,6373.68,4,3,4,434,Loyal Customers
12357.0,32,296,18287.66,3,4,4,344,Loyal Customers
12358.0,1,77,3887.07,4,3,4,434,Loyal Customers
12359.0,7,375,8714.89,4,4,4,444,Champions
12360.0,51,218,4212.89,3,4,4,344,Loyal Customers
12361.0,286,29,511.25,2,2,2,222,Others
12362.0,2,275,5284.58,4,4,4,444,Champions
12363.0,109,23,552.0,2,2,2,222,Others
12364.0,7,85,1313.1,4,3,3,433,Loyal Customers
12365.0,290,23,320.69,2,2,1,221,Others
12366.0,633,3,500.24,1,1,2,112,At Risk
12367.0,3,11,168.9,4,1,1,411,Recent Customers
12368.0,627,18,917.6999999999999,1,1,3,113,At Risk
12369.0,412,93,1791.15,1,3,3,133,Loyal Customers
12370.0,50,202,4320.31,3,4,4,344,Loyal Customers
12371.0,44,167,4067.38,3,4,4,344,Loyal Customers
12372.0,71,52,1298.04,3,2,3,323,Others
12373.0,310,51,1127.65,2,2,3,223,Others
12374.0,24,83,2989.2200000000003,4,3,4,434,Loyal Customers
12375.0,2,18,455.42,4,1,2,412,Recent Customers
12376.0,389,13,503.15,1,1,2,112,At Risk
12377.0,314,152,3426.32,2,4,4,244,Loyal Customers
12378.0,129,301,5416.32,2,4,4,244,Loyal Customers
12379.0,81,82,1618.27,3,3,3,333,Loyal Customers
12380.0,21,283,7888.0,4,4,4,444,Champions
12381.0,4,91,1803.96,4,3,3,433,Loyal Customers
12382.0,681,1,-18.38,1,1,1,111,At Risk
12383.0,184,100,1839.31,2,3,3,233,Loyal Customers
12384.0,28,30,566.16,3,2,2,322,Others
12385.0,378,66,1923.4,2,3,3,233,Loyal Customers
12386.0,337,18,660.8,2,1,2,212,Others
12387.0,414,9,143.94,1,1,1,111,At Risk
12388.0,15,146,3901.11,4,4,4,444,Champions
12389.0,402,49,1433.33,1,2,3,123,At Risk
12390.0,79,32,549.84,3,2,2,322,Others
12391.0,21,287,2747.82,4,4,4,444,Champions
12392.0,590,7,234.75000000000003,1,1,1,111,At Risk
12393.0,71,112,2376.75,3,3,4,334,Loyal Customers
12394.0,63,27,1272.48,3,2,3,323,Others
12395.0,15,257,5046.92,4,4,4,444,Champions
12396.0,673,65,931.43,1,3,3,133,Loyal Customers
12397.0,35,126,2409.9,3,3,4,334,Loyal Customers
12398.0,45,85,1635.6599999999999,3,3,3,333,Loyal Customers
12399.0,118,110,1962.3,2,3,3,233,Loyal Customers
12400.0,413,11,205.25,1,1,1,111,At Risk
12401.0,302,5,84.3,2,1,1,211,Others
12402.0,322,71,1244.15,2,3,3,233,Loyal Customers
12403.0,49,10,1001.36,3,1,3,313,Others
12404.0,681,1,63.24,1,1,1,111,At Risk
12405.0,148,54,1710.39,2,3,3,233,Loyal Customers
12406.0,21,170,6072.21,4,4,4,444,Champions
12407.0,49,77,1708.1200000000001,3,3,3,333,Loyal Customers
12408.0,32,170,4279.64,3,4,4,344,Loyal Customers
12409.0,78,272,23090.47,3,4,4,344,Loyal Customers
12410.0,300,42,1001.46,2,2,3,223,Others
12411.0,409,22,346.9,1,2,2,122,At Risk
12412.0,74,131,2581.03,3,3,4,334,Loyal Customers
12413.0,66,53,935.5,3,2,3,323,Others
12414.0,216,37,692.41,2,2,2,222,Others
12415.0,23,990,143269.29,4,4,4,444,Champions
12416.0,656,11,202.56,1,1,1,111,At Risk
12417.0,2,381,6708.21,4,4,4,444,Champions
12418.0,112,103,2016.95,2,3,3,233,Loyal Customers
12419.0,385,25,503.01,1,2,2,122,At Risk
12420.0,63,29,600.39,3,2,2,322,Others
12421.0,15,67,1092.83,4,3,3,433,Loyal Customers
12422.0,95,176,4119.35,3,4,4,344,Loyal Customers
12423.0,0,166,2612.19,4,4,4,444,Champions
12424.0,162,97,3289.78,2,3,4,234,Loyal Customers
12425.0,77,95,1680.81,3,3,3,333,Loyal Customers
12426.0,194,82,1311.41,2,3,3,233,Loyal Customers
12427.0,11,45,1011.87,4,2,3,423,Recent Customers
12428.0,25,300,7877.2,3,4,4,344,Loyal Customers
12429.0,8,174,7435.51,4,4,4,444,Champions
12430.0,42,11,256.4,3,1,1,311,Others
12431.0,35,413,10719.41,3,4,4,344,Loyal Customers
12432.0,42,108,5059.32,3,3,4,334,Loyal Customers
12433.0,0,707,20428.86,4,4,4,444,Champions
12434.0,84,74,1062.48,3,3,3,333,Loyal Customers
12435.0,79,112,13925.93,3,3,4,334,Loyal Customers
12436.0,99,16,509.01,2,1,2,212,Others
12437.0,1,583,12394.85,4,4,4,444,Champions
12438.0,13,98,2906.85,4,3,4,434,Loyal Customers
12439.0,682,75,1104.48,1,3,3,133,Loyal Customers
12440.0,456,35,768.15,1,2,2,122,At Risk
12441.0,366,22,347.1,2,2,2,222,Others
12442.0,2,12,172.06,4,1,1,411,Recent Customers
12443.0,731,21,485.31,1,1,2,112,At Risk
12444.0,20,177,5005.46,4,4,4,444,Champions
12445.0,21,25,426.48,4,2,2,422,Recent Customers
12446.0,57,58,1002.3100000000001,3,3,3,333,Loyal Customers
12447.0,242,26,476.49,2,2,2,222,Others
12448.0,43,22,449.45,3,2,2,322,Others
12449.0,21,201,4835.89,4,4,4,444,Champions
12450.0,155,40,666.95,2,2,2,222,Others
12451.0,10,514,12546.53,4,4,4,444,Champions
12452.0,16,23,428.57,4,2,2,422,Recent Customers
12453.0,133,43,707.09,2,2,2,222,Others
12454.0,52,72,4292.71,3,3,4,334,Loyal Customers
12455.0,72,227,5879.95,3,4,4,344,Loyal Customers
12456.0,43,129,3153.89,3,3,4,334,Loyal Customers
12457.0,57,93,2472.31,3,3,4,334,Loyal Customers
12458.0,70,84,1777.49,3,3,3,333,Loyal Customers
12459.0,604,23,454.36,1,2,2,122,At Risk
12460.0,455,18,326.65,1,1,2,112,At Risk
12461.0,93,35,826.88,3,2,2,322,Others
12462.0,1,72,1124.01,4,3,3,433,Loyal Customers
12463.0,45,88,1303.63,3,3,3,333,Loyal Customers
12464.0,9,29,1212.05,4,2,3,423,Recent Customers
12465.0,7,51,733.89,4,2,2,422,Recent Customers
12466.0,681,1,56.73,1,1,1,111,At Risk
12467.0,385,18,0.0,1,1,1,111,At Risk
12468.0,142,163,3624.55,2,4,4,244,Loyal Customers
12469.0,522,76,3070.54,1,3,4,134,Loyal Customers
12470.0,689,23,211.95,1,2,1,121,At Risk
12471.0,1,1298,37948.61,4,4,4,444,Champions
12472.0,30,1049,16956.69,3,4,4,344,Loyal Customers
12473.0,28,179,2848.23,3,4,4,344,Loyal Customers
12474.0,16,764,11966.45,4,4,4,444,Champions
12475.0,53,61,1149.64,3,3,3,333,Loyal Customers
12476.0,0,564,13715.62,4,4,4,444,Champions
12477.0,22,572,20173.64,4,4,4,444,Champions
12478.0,3,36,680.99,4,2,2,422,Recent Customers
12479.0,3,35,477.3,4,2,2,422,Recent Customers
12480.0,27,245,5435.1,3,4,4,344,Loyal Customers
12481.0,22,395,12217.03,4,4,4,444,Champions
12482.0,449,207,21893.53,1,4,4,144,Loyal Customers
12483.0,16,148,4846.87,4,4,4,444,Champions
12484.0,32,484,6303.85,3,4,4,344,Loyal Customers
12485.0,528,34,708.1,1,2,2,122,At Risk
12486.0,431,49,1037.28,1,2,3,123,At Risk
12487.0,730,3,259.79999999999995,1,1,1,111,At Risk
12488.0,9,55,1298.66,4,3,3,433,Loyal Customers
12489.0,335,15,334.93,2,1,2,212,Others
12490.0,4,463,9818.64,4,4,4,444,Champions
12491.0,38,26,460.40000000000003,3,2,2,322,Others
12492.0,62,42,715.21,3,2,2,322,Others
12493.0,165,23,416.79,2,2,2,222,Others
12494.0,9,122,1743.52,4,3,3,433,Loyal Customers
