CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12346.0,325,17,-64.67999999999302,2,4,1,241,Others
12347.0,1,8,5633.32,4,3,4,434,Loyal Customers
12348.0,74,5,2019.4,3,3,3,333,Loyal Customers
12349.0,18,5,4404.54,4,3,4,434,Loyal Customers
12350.0,309,1,334.4,2,1,2,212,Others
12351.0,374,1,300.93,2,1,1,211,Others
12352.0,35,13,1889.21,3,4,3,343,Loyal Customers
12353.0,203,2,406.76,2,1,2,212,Others
12354.0,231,1,1079.4,2,1,3,213,Others
12355.0,213,2,947.61,2,1,3,213,Others
12356.0,22,6,6373.68,4,3,4,434,Loyal Customers
12357.0,32,3,18287.66,3,2,4,324,Others
12358.0,1,5,3887.07,4,3,4,434,Loyal Customers
12359.0,7,14,8714.89,4,4,4,444,Champions
12360.0,51,9,4212.89,3,4,4,344,Loyal Customers
12361.0,286,4,511.25,2,2,2,222,Others
12362.0,2,14,5284.58,4,4,4,444,Champions
12363.0,109,2,552.0,2,1,2,212,Others
12364.0,7,4,1313.1,4,2,3,423,Recent Customers
12365.0,290,3,320.69,2,2,1,221,Others
12366.0,633,1,500.24,1,1,2,112,At Risk
12367.0,3,1,168.9,4,1,1,411,Recent Customers
12368.0,627,1,917.6999999999999,1,1,3,113,At Risk
12369.0,412,3,1791.15,1,2,3,123,At Risk
12370.0,50,7,4320.31,3,3,4,334,Loyal Customers
12371.0,44,5,4067.38,3,3,4,334,Loyal Customers
12372.0,71,3,1298.04,3,2,3,323,Others
12373.0,310,3,1127.65,2,2,3,223,Others
12374.0,24,4,2989.2200000000003,4,2,4,424,Recent Customers
12375.0,2,3,455.42,4,2,2,422,Recent Customers
12376.0,389,2,503.15,1,1,2,112,At Risk
12377.0,314,4,3426.32,2,2,4,224,Others
12378.0,129,2,5416.32,2,1,4,214,Others
12379.0,81,5,1618.27,3,3,3,333,Loyal Customers
12380.0,21,15,7888.0,4,4,4,444,Champions
12381.0,4,6,1803.96,4,3,3,433,Loyal Customers
12382.0,681,1,-18.38,1,1,1,111,At Risk
12383.0,184,6,1839.31,2,3,3,233,Loyal Customers
12384.0,28,3,566.16,3,2,2,322,Others
12385.0,378,2,1923.4,2,1,3,213,Others
12386.0,337,2,660.8,2,1,2,212,Others
