rank,canonical_name,count
1,Salt,68
2,Sugar,51
3,Ginger Paste,47
4,Mustard Oil,46
5,Green Chilies,41
6,Garlic Paste,39
7,Tomato,33
8,Lemon Juice,32
9,Ginger,30
10,Wheat Flour,29
11,Oil,29
12,Ghee,27
13,Garam Masala,27
14,Rice Flour,25
15,Curry Leaves,25
16,Urad Dal,25
17,Minced Garlic,24
18,Water,23
19,Red Chili Powder,22
20,Diced Tomato,22
21,Turmeric,21
22,Carrot,21
23,Milk,21
24,Jaggery,21
25,Potato,19
26,Chopped Onion,18
27,Cooking Oil,17
28,Garlic,17
29,Cumin Powder,17
30,Soy Sauce,17
31,Yogurt,17
32,Chana Dal,17
33,Minced Ginger,16
34,Wheat Noodles,16
35,Finely Chopped Onion,16
36,Green Beans,15
37,Black Pepper,13
38,Gram Flour,13
39,Garam Masala Powder,13
40,Sesame Seeds,13
41,Onion,12
42,Coconut,12
43,Whole Wheat Flour,12
44,Rice,11
45,Clarified Butter,11
46,Fenugreek Seeds,11
47,Coriander,11
48,Eggs,10
49,Cabbage,10
50,Bell Peppers,10
51,Saffron,10
52,Vinegar,9
53,Cardamom,9
54,Semolina,9
55,Mustard Seeds,9
56,Momo Masala,8
57,Julienned Cabbage,8
58,Julienned Carrot,8
59,Chopped Cabbage,8
60,Broth/Stock,8
61,Thukpa Masala,8
62,Cooked Rice (Chilled),8
63,Spring Onions,8
64,Coriander Powder,8
65,Chopped Coriander,8
66,Onion Chunks,8
67,Dark Soy Sauce,8
68,Tomato Ketchup,8
69,Beaten Rice (Chiura),8
70,Aloo Tama,8
71,Roasted Soybeans (Bhatmas),8
72,Pickled Radish (Achar),8
73,Lentil Patty (Bara),8
74,Fresh Coriander,8
75,Oil For Deep Frying,8
76,Baking Soda,8
77,Curd,8
78,Besan,8
79,Chhena,8
80,Sekuwa Masala,7
81,Chicken,7
82,Chillies,7
83,Butter,7
84,All Purpose Flour,7
85,Moong Dal,7
86,Bottle Gourd,7
87,Coconut Oil,7
88,Bengal Gram Flour,7
89,Grated Coconut,7
90,Hot Water,6
91,Dried Buff Strips (Sukuti),6
92,Sliced Onion,6
93,Chili Flakes,6
94,Raisins,6
95,Cream,6
96,Rava,6
97,Kasuri Methi,6
98,Cashew Nuts,6
99,Lemon,6
100,Gur,6
101,Cinnamon,6
102,Cashews,5
103,Cottage Cheese,5
104,Dry Fruits,5
105,Nuts,5
106,Fennel Seeds,5
107,Olive Oil,5
108,Arhar Dal,5
109,Red Chilli,5
110,Tamarind,5
111,Cardamom Powder,4
112,Paneer,4
113,Coated & Fried Buff,4
114,Flour,4
115,Almonds,4
116,Pistachio,4
117,Plain Flour,4
118,Rose Water,4
119,Condensed Milk,4
120,Cucumber,4
121,Fish,4
122,Red Onion,4
123,Bay Leaf,4
124,Green Chilli,4
125,Sev,4
126,Fresh Coconut,4
127,Sesame Oil,4
128,Green,4
129,Raw Rice,4
130,Mustard,4
131,Amchur Powder,3
132,Chicken Chunks,3
133,Boiled/Fried Paneer,3
134,Maida Flour,3
135,Sugar Syrup,3
136,Maida,3
137,Corn Flour,3
138,Powdered Sugar,3
139,Vegetable Oil,3
140,Banana,3
141,Peas,3
142,Greek Yogurt,3
143,Dough,3
144,Chickpea Flour,3
145,Khus Khus,3
146,Thick Poha,3
147,Drumsticks,3
148,Sambar Powder,3
149,Cooked Rice,3
150,Aloo,3
151,Ridge Gourd,3
152,Coconut Milk,3
153,Lentils,2
